CT,Total,Aboriginal,North American ,European,Carribean,Latin,African,Oceania,Middle Eastern,South Asian,East Asian,Other Asian
0312.06,3630,0,235,1240,570,625,235,0,440,125,550,20
0312.07,3165,0,80,1470,375,315,140,0,25,245,745,0
0313.00,5480,60,710,2510,605,865,400,0,125,520,800,0
0314.01,5050,0,410,525,865,695,520,0,270,1640,715,0
0314.02,5295,0,435,1540,640,470,435,0,115,1735,560,45
0315.01,3325,0,135,2265,120,130,0,0,95,580,130,0
0315.02,3665,0,165,935,270,230,165,0,305,1565,255,25
0315.03,5515,0,295,2005,240,270,535,0,365,1920,335,0
0316.01,3855,0,210,1460,395,535,175,0,130,530,715,0
0316.03,5720,0,415,700,1105,680,640,0,1335,340,835,40
0316.04,4415,0,230,635,520,585,1245,0,175,520,955,0
0316.05,4190,0,380,550,595,600,985,0,150,850,550,25
0316.06,3750,200,275,415,515,275,965,0,120,505,915,0
0317.02,7215,0,260,4955,200,80,265,0,950,130,1120,0
0317.03,3755,0,260,2760,0,115,135,0,265,80,645,0
0317.04,6015,0,270,3560,200,235,125,0,715,125,1275,0
0317.05,2230,0,80,1200,85,40,45,20,105,95,765,0
0318.00,8355,40,470,3030,115,150,250,0,1210,290,3485,0
0319.00,4140,45,380,1930,40,45,85,0,655,130,1265,0
0320.01,4655,0,175,2820,90,60,25,0,555,260,975,45
0320.02,5695,0,265,2485,70,140,120,0,525,150,2390,0
0321.01,3770,0,265,1540,30,40,45,0,610,205,1400,0
0321.02,4165,0,225,1390,55,55,0,0,995,190,1575,0
0322.01,4915,0,120,965,45,20,65,0,590,365,3060,0
0322.02,3060,45,150,1200,0,90,110,0,435,215,1200,0
0323.01,4105,15,435,1595,60,75,185,0,590,250,1360,0
0323.02,5225,0,280,2175,25,35,40,0,440,275,2370,0
0324.01,3845,25,210,965,495,25,290,0,160,310,1865,0
0324.02,6455,20,415,1510,250,70,290,0,375,380,3735,10
0324.03,3885,0,250,1490,115,0,55,0,405,270,1625,50
0324.05,3435,0,230,785,55,0,70,30,290,130,2070,0
0324.06,3655,0,215,885,40,40,45,0,140,455,2110,0
0330.00,4190,105,1015,3270,135,65,160,0,45,235,290,0
0331.01,5420,65,1020,3700,360,205,150,0,195,310,670,0
0331.03,5950,25,340,985,800,335,360,0,365,2935,390,0
0331.04,3025,45,480,1545,125,215,200,0,125,385,575,0
0332.00,7315,165,1145,2360,935,310,605,0,295,2020,790,0
0333.00,4625,290,940,3035,245,130,110,0,45,785,450,0
0334.00,3640,45,630,2795,50,55,35,0,145,290,235,0
0335.00,7235,370,1280,3710,380,210,150,0,310,1095,1115,10
0336.00,6550,215,1270,3775,170,135,130,0,150,875,1105,0
0337.00,2610,235,745,1725,120,120,110,0,0,110,220,0
0338.00,5565,150,1415,4520,125,115,160,60,65,150,350,0
0339.00,6565,195,1735,5495,135,115,25,0,55,95,440,0
0340.00,6530,40,930,3035,435,145,300,15,315,1640,975,20
0341.02,3765,90,800,1605,180,130,105,0,55,740,780,0
0341.03,5075,0,290,905,235,75,590,0,415,2745,165,25
0341.04,4435,105,515,1260,465,110,765,0,120,1045,975,0
0342.00,6300,40,620,2195,285,235,305,0,120,1595,1825,35
0343.00,4020,95,985,1800,195,125,180,0,0,550,595,0
0344.01,5030,0,465,1815,330,160,340,0,55,1220,1180,0
